publication_title,pdf_title,pdf_url,publication_url,publication_type,date
Why Did Land-Based Biofuel Investments Fail in Sub-Saharan Africa?,Download PDF,https://go.lincolninst.edu/Ahmed_WP26AA1.pdf,https://www.lincolninst.edu/publications/working-papers/why-land-based-biofuel-investments-fail-subsaharan-africa/,Working Papers,"September 2025, English"
Community Perceptions on Why Biofuels Failed and the Willingness to Accept Future Investments,Download PDF,https://go.lincolninst.edu/Ahmed_WP26AA2.pdf,https://www.lincolninst.edu/publications/working-papers/community-perceptions-biofuels-failed-willingness-accept-future-investments/,Working Papers,"September 2025, English"
Integrating Energy Transition Sociotechnical Imaginaries with Land Rights Struggles for Climate Justice in Brazil’s Northeast,Download PDF,https://go.lincolninst.edu/Stassart_WP26JS1.pdf,https://www.lincolninst.edu/publications/working-papers/integrating-energy-transition-sociotechnical-imaginaries-land-rights-climate-justice-brazil-northeast/,Working Papers,"September 2025, English"
Gestionar el crecimiento de Denver,Descargar PDF,https://go.lincolninst.edu/ll-fw25-span-escritorio-alcalde.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/gestionar-crecimiento-denver/,Land Lines Magazine,
Preservar la vivienda asequible,Descargar PDF,https://go.lincolninst.edu/preserving-affordable-homeownership-pfr-es.pdf,https://www.lincolninst.edu/publications/policy-focus-reports/preservar-vivienda-asequible-alianzas-gobiernos-municipales-fideicomisos-comunitarios-tierras/,Policy Focus Reports,"August 2025, Spanish"
Scaling Up Urban Nature Through Equitable Land Use Planning,Download PDF,https://go.lincolninst.edu/Brugman_WP26JB1.pdf,https://www.lincolninst.edu/publications/working-papers/scaling-up-urban-nature-through-equitable-land-use-planning/,Working Papers,"August 2025, English"
Enhancing Disaster Management and Resilience to Floods through Exploratory Scenario Planning in Colombia,Download PDF,https://go.lincolninst.edu/toolkit-planning-colombia-wp-en.pdf,https://www.lincolninst.edu/publications/working-papers/enhancing-disaster-management-resilience-floods-through-xsp-colombia/,Working Papers,"August 2025, English"
Fiscal Monitoring and Municipal Fiscal Health,Download PDF,http://go.lincolninst.edu/Maher_WP26CM1.pdf,https://www.lincolninst.edu/publications/working-papers/fiscal-monitoring-municipal-fiscal-health/,Working Papers,"August 2025, English"
Exploratory Scenario Planning in Legacy Cities,Download PDF,https://go.lincolninst.edu/xsp-legacy-cities-companion-toolkit.pdf,https://www.lincolninst.edu/publications/working-papers/exploratory-scenario-planning-legacy-cities-companion/,Working Papers,"August 2025, English"
Strategic Foresight to Minimize the Impact of Disasters and Increase Resilience in Chile,Download PDF,https://go.lincolninst.edu/toolkit-planning-Chile-wp-en.pdf,https://www.lincolninst.edu/publications/working-papers/strategic-foresight-to-minimize-impact-disasters-and-increase-resilience-chile/,Working Papers,"July 2025, English"
Equitable Urban Greening,Download PDF,https://go.lincolninst.edu/ll-fw25-equitable-urban-greening.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/equitable-urban-greening/,Land Lines Magazine,
Reverdecimiento urbano equitativo,Descargar PDF,https://go.lincolninst.edu/ll-fw25-span-reverdecimiento-urbano.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/reverdecer-urbano-equitativo/,Land Lines Magazine,
Reverdecimiento urbano equitativo,1200 hectáreas,https://water.phila.gov/wp-content/uploads/files/fy24-npdes-annual-report.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/reverdecer-urbano-equitativo/,Land Lines Magazine,
50-State Property Tax Comparison Study,Download PDF,https://go.lincolninst.edu/50-state-property-tax-comparison-for-2024.pdf,https://www.lincolninst.edu/publications/other/50-state-property-tax-comparison-study-2024/,Other,"July 2025, English"
50-State Property Tax Comparison Study,Executive Summary,https://go.lincolninst.edu/50-state-prop-tax-comparison-for-2024-exec-summary.pdf,https://www.lincolninst.edu/publications/other/50-state-property-tax-comparison-study-2024/,Other,"July 2025, English"
Understanding Heirs Property,Download PDF,https://go.lincolninst.edu/ll-fw25-heirs-property.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/understanding-heirs-property/,Land Lines Magazine,
Understanding Heirs Property,exclusion,https://www.fanniemae.com/sites/g/files/koqyhd191/files/2023-12/heirs-property-research-report_0.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/understanding-heirs-property/,Land Lines Magazine,
Understanding Heirs Property,the prevalence of heirs properties among tax foreclosures,https://law.utexas.edu/faculty/uploads/publication_files/way-final-hud-project-report-heirs-property-and-tax-foreclosures.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/understanding-heirs-property/,Land Lines Magazine,
Understanding Heirs Property,is administered through block grants,https://www.nclc.org/wp-content/uploads/2024/01/202401_Report_Heirs-Property-Keeping-it-in-the-Family.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/understanding-heirs-property/,Land Lines Magazine,
Comprender los bienes inmobiliarios heredados,Descargar PDF,https://go.lincolninst.edu/ll-fw25-span-bienes-inmobiliarios.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/comprender-bienes-inmobiliarios-heredados/,Land Lines Magazine,
Through the Roof,Download PDF,https://go.lincolninst.edu/through-the-roof-pb.pdf,https://www.lincolninst.edu/publications/policy-briefs/through-roof-what-communities-can-do-high-cost-rental-housing/,Policy Briefs,"June 2025, English"
Augmented Reality Offers a New Perspective on Urban Planning,Download PDF,https://go.lincolninst.edu/ll-fw25-city-tech.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/augmented-reality-offers-a-new-perspective-on-urban-planning/,Land Lines Magazine,
Realidad aumentada y urbanismo,Descargar PDF,https://go.lincolninst.edu/ll-fw25-span-tecnociudad.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/realidad-aumentada-urbanismo/,Land Lines Magazine,
Quito’s Use of Land-Based Finance for Climate Resilience,Download PDF,https://go.lincolninst.edu/Donoso_WP25RD1.pdf,https://www.lincolninst.edu/publications/working-papers/quitos-use-land-based-finance-climate-resilience/,Working Papers,"June 2025, English"
Planejamento por cenários,Download PDF,https://go.lincolninst.edu/ptbr-scenario-planning-pb.pdf,https://www.lincolninst.edu/publications/policy-briefs/planejamento-por-cenarios/,Policy Briefs,"June 2025, Portuguese"
Planejamento exploratório por cenários,Download PDF,https://go.lincolninst.edu/ptbr-exploratory-scenario-planning-pb.pdf,https://www.lincolninst.edu/publications/policy-briefs/planejamento-exploratorio-por-cenarios/,Policy Briefs,"June 2025, Portuguese"
The Impact of the COVID-19 Pandemic on the Fiscal Health of American Central Cities,Download PDF,https://go.lincolninst.edu/Chernick_WP25HC2.pdf,https://www.lincolninst.edu/publications/working-papers/impact-covid-19-pandemic-fiscal-health-american-central-cities/,Working Papers,"May 2025, English"
"The Fiscal Health of American Central Cities, 2000 and 2021",Download PDF,https://go.lincolninst.edu/Chernick_WP25HC1.pdf,https://www.lincolninst.edu/publications/working-papers/fiscal-health-american-central-cities-2000-2021/,Working Papers,"May 2025, English"
Land LinesSpring/Summer 2025,Download PDF,https://go.lincolninst.edu/land-lines-spring-summer-2025.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/issues/spring-summer-2025/,Land Lines Magazine,Spring/Summer 2025
Preserving Affordable Homeownership,Download PDF,https://go.lincolninst.edu/preserving-affordable-housing-pb.pdf,https://www.lincolninst.edu/publications/policy-briefs/preserving-affordable-homeownership/,Policy Briefs,"May 2025, English"
A View of the Charles,International Land Conservation Network paper,https://landconservationnetwork.org/wp-content/uploads/2025/01/A-View-of-the-Charles-04-22-2025.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/view-of-the-charles-the-lasting-land-conservation-influence-of-an-american-poet/,Land Lines Magazine,
Una vista del Charles,Descargar PDF,https://go.lincolninst.edu/una-vista-charles-lla2506sp.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/vista-charles-influencia-duradera-conservacion-suelo-poeta-estadounidense/,Land Lines Magazine,
International Commentaries on Preserving Affordable Homeownership,Download PDF,https://go.lincolninst.edu/intl-commentaries-preserving-affordable-homeownership.pdf,https://www.lincolninst.edu/publications/other/international-commentaries-preserving-affordable-homeownership-public-partnerships-community-land-trusts/,Other,"May 2025, English"
Policy-Related Disasters from Disaster-Related Policies,Download PDF,https://go.lincolninst.edu/Slabaugh_WP25DS1.pdf,https://www.lincolninst.edu/publications/working-papers/policy-related-disasters-from-disaster-related-policies/,Working Papers,"May 2025, English"
Preparing for the Expected Unexpected,Download PDF,https://go.lincolninst.edu/toolkit-xsp-preparing-expected-unexpected.pdf,https://www.lincolninst.edu/publications/working-papers/preparing-expected-unexpected-wildfire-piney-toolkit/,Working Papers,"May 2025, English"
"Ciudad pequeña, cambios grandes",Descargar PDF,https://go.lincolninst.edu/escritorio-lla2506sp.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/ciudad-pequena-cambios-grandes/,Land Lines Magazine,
Housing Design Has to Evolve,Founda­tion for Intentional Community,https://www.ic.org/wp-content/uploads/2021/10/Starter-Guide-to-Intentional-Communities.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/why-housing-design-has-to-evolve/,Land Lines Magazine,
Housing Design Has to Evolve,dangerous,https://www.hhs.gov/sites/default/files/surgeon-general-social-connection-advisory.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/why-housing-design-has-to-evolve/,Land Lines Magazine,
El diseño de las viviendas tiene que evolucionar,Descargar PDF,https://go.lincolninst.edu/diseno-viviendas-lla2506sp.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/diseno-viviendas-tiene-que-evolucionar/,Land Lines Magazine,
Evaluación del régimen para la integración socio urbana de los barrios populares y el Certificado de Vivienda Familiar en Argentina,Download PDF,https://go.lincolninst.edu/DiVirgilio_WP25MD1.pdf,https://www.lincolninst.edu/publications/working-papers/evaluacion-regimen-integracion-socio-urbana-barrios-populares-certificado-vivienda-familiar-argentina-legal/,Working Papers,"April 2025, Spanish"
Coastal Flood Planning and Adaptation Workshop,Download PDF,https://go.lincolninst.edu/toolkit-xsp-coastal-flood-planning.pdf,https://www.lincolninst.edu/publications/working-papers/coastal-flood-planning-adaptation-workshop-toolkit/,Working Papers,"April 2025, English"
Análisis del régimen para la integración socio urbana de los barrios populares y el Certificado de Vivienda Familiar,Download PDF,https://go.lincolninst.edu/Goytia_WP25CG7.pdf,https://www.lincolninst.edu/publications/working-papers/analisis-regimen-integracion-socio-urbana-barrios-populares-certificado-vivienda-familiar/,Working Papers,"March 2025, Spanish"
A Toolkit for Identifying Equitable Real Estate Development Strategies,Download PDF,https://go.lincolninst.edu/WP25CT1_Terry.pdf,https://www.lincolninst.edu/publications/working-papers/toolkit-identifying-equitable-real-estate-development-strategies/,Working Papers,"March 2025, English"
"When Property Values Rise, Do Property Taxes Rise Too?",Download PDF,https://go.lincolninst.edu/rising-prop-tax-values-increases-prop-taxes-pd.pdf,https://www.lincolninst.edu/publications/policy-downloads/property-values-rise-property-taxes-rise-too/,Policy Downloads,"February 2025, English"
Building an American Energy Future for All,Download PDF,https://go.lincolninst.edu/2025-building-equitable-clean-energy-marketplace-pd.pdf,https://www.lincolninst.edu/publications/policy-downloads/building-american-energy-future-for-all/,Policy Downloads,"February 2025, English"
Affordable Housing Coalition Commends New Rural Mortgage Product,scorecard,https://www.lincolninst.edu/app/uploads/2025/01/ummc-dts-scorecard-2025.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/affordable-housing-coalition-commends-new-rural-mortgage-product/,Land Lines Magazine,
Affordable Housing Coalition Commends New Rural Mortgage Product,DTS Blueprint 2024,https://www.lincolninst.edu/app/uploads/legacy-files/content/ummc_dts_blueprint_2024.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/affordable-housing-coalition-commends-new-rural-mortgage-product/,Land Lines Magazine,
Property Tax Trends 2023 and 2024,Download PDF,https://go.lincolninst.edu/2023-2024-property-tax-trends.pdf,https://www.lincolninst.edu/publications/other/property-tax-trends-2023-2024/,Other,"February 2025, English"
"Elaboración de “escenarios de riesgo” de base comunitaria: Estudio de caso en Santa Fe, Argentina",Download PDF,https://go.lincolninst.edu/toolkit-risk-scenarios-santa-fe-argentina-es.pdf,https://www.lincolninst.edu/publications/working-papers/elaboracion-escenarios-riesgo-base-comunitaria-estudio-caso-santa-fe-argentina/,Working Papers,"February 2025, Spanish"
Assessment Limits Create Tax Disparities That Obstruct Homeownership,mill rate of 20.0332,https://www.miamidade.gov/pa/library/2024-proposed-millage-chart.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/assessment-limits-create-tax-disparities-that-obstruct-homeownership/,Land Lines Magazine,
"As Wars Rage, Cities Face a Dark New Era of Urban Destruction",concluding resolution,https://wuf.unhabitat.org/sites/default/files/2024-11/files/cairo-call-to-action-wuf12.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/as-wars-rage-cities-face-dark-new-era-of-destruction/,Land Lines Magazine,
Property Taxes and the Great Recession,Download PDF,https://go.lincolninst.edu/Brosy_WP25TB1.pdf,https://www.lincolninst.edu/publications/working-papers/property-taxes-great-recession-role-property-tax-limits/,Working Papers,"January 2025, English"
Storm Surge: How Can Cities and Regions Plan for Climate Relocation?,$2.2 billion in damage,https://www.ncei.noaa.gov/access/billions/events.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/how-can-cities-regions-plan-climate-relocation/,Land Lines Magazine,
Storm Surge: How Can Cities and Regions Plan for Climate Relocation?,for decades,https://furmancenter.org/files/BuyingSky_PolicyBrief_21OCT2013.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/how-can-cities-regions-plan-climate-relocation/,Land Lines Magazine,
Marejada: ¿Cómo se pueden preparar las ciudades y las regiones para la reubicación climática?,Descargar PDF,https://go.lincolninst.edu/marejada-lla2506sp.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/como-pueden-preparar-ciudades-regiones-reubicacion-climatica/,Land Lines Magazine,
Updates on the State of Statewide Housing Policy: New Insights into Implementation and Results,Download PDF,https://go.lincolninst.edu/state-of-statewide-housing-policy-update.pdf,https://www.lincolninst.edu/publications/policy-downloads/updates-state-statewide-housing-policy-new-insights-implementation-and-results/,Policy Downloads,"January 2025, English"
Updates on the State of Statewide Housing Policy: New Insights into Implementation and Results,researchers,https://www.huduser.gov/PORTAL/periodicals/cityscape/vol25num3/ch4.pdf,https://www.lincolninst.edu/publications/policy-downloads/updates-state-statewide-housing-policy-new-insights-implementation-and-results/,Policy Downloads,"January 2025, English"
Updates on the State of Statewide Housing Policy: New Insights into Implementation and Results,"build certain types of multifamily projects in any area zoned for commercial, industrial, and mixed use",https://www.flhousing.org/wp-content/uploads/2024/10/FHC-Overview-of-the-Live-Local-Act.pdf,https://www.lincolninst.edu/publications/policy-downloads/updates-state-statewide-housing-policy-new-insights-implementation-and-results/,Policy Downloads,"January 2025, English"
Updates on the State of Statewide Housing Policy: New Insights into Implementation and Results,Oregon’s HB 2001 (2019),https://www.oregon.gov/lcd/UP/Documents/HB2001TechnicalOverview.pdf,https://www.lincolninst.edu/publications/policy-downloads/updates-state-statewide-housing-policy-new-insights-implementation-and-results/,Policy Downloads,"January 2025, English"
Updates on the State of Statewide Housing Policy: New Insights into Implementation and Results,direct fines,https://abag.ca.gov/sites/default/files/documents/2021-06/Consequences%20of%20Non-Compliance%20with%20Housing%20Laws.pdf,https://www.lincolninst.edu/publications/policy-downloads/updates-state-statewide-housing-policy-new-insights-implementation-and-results/,Policy Downloads,"January 2025, English"
Preserving Affordable Homeownership,Download PDF,https://go.lincolninst.edu/preserving-affordable-homeownership-full.pdf,https://www.lincolninst.edu/publications/policy-focus-reports/preserving-affordable-homeownership-municipal-partnerships-community-land-trusts/,Policy Focus Reports,"November 2024, English"
Prospectiva estratégica para minimizar el impacto de desastres y aumentar la resiliencia en Chile,Download PDF,https://go.lincolninst.edu/toolkit-planificacion-chile-wp-202502.pdf,https://www.lincolninst.edu/publications/working-papers/prospectiva-estrategica-minimizar-impacto-desastres-aumentar-resiliencia-chile/,Working Papers,"November 2024, Spanish"
Examining Opportunities and Challenges for Implementing Land-based Financing Instruments for Funding Climate Action,Download PDF,https://go.lincolninst.edu/Goytia_WP25CG5.pdf,https://www.lincolninst.edu/publications/working-papers/examining-opportunities-challenges-implementing-land-based-financing-instruments-funding-climate-action-lagos/,Working Papers,"November 2024, English"
Examining Opportunities and Challenges for Implementing Land-based Financing Instruments for Funding Climate Action,Download PDF,https://go.lincolninst.edu/Goytia_WP25CG6.pdf,https://www.lincolninst.edu/publications/working-papers/examining-opportunities-challenges-implementing-land-based-financing-instruments-funding-climate-action-miami/,Working Papers,"November 2024, English"
Examining Opportunities and Challenges for Implementing Land-based Financing Instruments for Funding Climate Action,Download PDF,https://go.lincolninst.edu/Goytia_WP25CG1.pdf,https://www.lincolninst.edu/publications/working-papers/examining-opportunities-challenges-implementing-land-based-financing-instruments-funding-climate-action/,Working Papers,"November 2024, English"
Examining Opportunities and Challenges for Implementing Land-based Financing Instruments for Funding Climate Action,Download PDF,https://go.lincolninst.edu/Goytia_WP25CG2.pdf,https://www.lincolninst.edu/publications/working-papers/examining-opportunities-challenges-implementing-land-based-financing-instruments-funding-climate-action-buenos-aires/,Working Papers,"November 2024, English"
Examining Opportunities and Challenges for Implementing Land-based Financing Instruments for Funding Climate Action,Download PDF,https://go.lincolninst.edu/Goytia_WP25CG3.pdf,https://www.lincolninst.edu/publications/working-papers/examining-opportunities-challenges-implementing-land-based-financing-instruments-funding-climate-action-ho-chi-minh/,Working Papers,"November 2024, English"
